Question,Option A,Option B,Option C,Option D,Answer,Topic
What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,Science
What is the boiling point of water at sea level?,90°C,95°C,100°C,110°C,2,Science
What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,Science
What is the boiling point of water at sea level?,90°C,95°C,100°C,110°C,2,Science
What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,Science
What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,Science
What planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1,Science
What planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1,Science
What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,Science
What does AI stand for?,Artificial Instinct,Advanced Intelligence,Artificial Intelligence,Automated Information,2,Technology
What does AI stand for?,Artificial Instinct,Advanced Intelligence,Artificial Intelligence,Automated Information,2,Technology
What does 'URL' stand for?,Unique Resource Locator,Universal Resource Locator,Unified Reference Link,Universal Redirect Link,1,Technology
What is Git used for?,Photo editing,Version control,Gaming,Web browsing,1,Technology
What does 'URL' stand for?,Unique Resource Locator,Universal Resource Locator,Unified Reference Link,Universal Redirect Link,1,Technology
What is the brain of the computer?,RAM,Hard Drive,CPU,GPU,2,Technology
What does AI stand for?,Artificial Instinct,Advanced Intelligence,Artificial Intelligence,Automated Information,2,Technology
Which company created the Android operating system?,Google,Apple,Samsung,Microsoft,0,Technology
What is the brain of the computer?,RAM,Hard Drive,CPU,GPU,2,Technology
Which company created the Android operating system?,Google,Apple,Samsung,Microsoft,0,Technology
What is the brain of the computer?,RAM,Hard Drive,CPU,GPU,2,Technology
Which company created the Android operating system?,Google,Apple,Samsung,Microsoft,0,Technology
What does 'URL' stand for?,Unique Resource Locator,Universal Resource Locator,Unified Reference Link,Universal Redirect Link,1,Technology
Which company created the Android operating system?,Google,Apple,Samsung,Microsoft,0,Technology
What does AI stand for?,Artificial Instinct,Advanced Intelligence,Artificial Intelligence,Automated Information,2,Technology
Which company created the Android operating system?,Google,Apple,Samsung,Microsoft,0,Technology
"In golf, what is the term for one under par?",Birdie,Eagle,Bogey,Double Bogey,0,Sports
How long is a marathon?,21 km,30 km,42.195 km,50 km,2,Sports
What sport uses a puck?,Soccer,Ice Hockey,Basketball,Tennis,1,Sports
How many players are on a soccer team on the field?,9,10,11,12,2,Sports
"In golf, what is the term for one under par?",Birdie,Eagle,Bogey,Double Bogey,0,Sports
What sport uses a puck?,Soccer,Ice Hockey,Basketball,Tennis,1,Sports
How long is a marathon?,21 km,30 km,42.195 km,50 km,2,Sports
"In golf, what is the term for one under par?",Birdie,Eagle,Bogey,Double Bogey,0,Sports
How many players are on a soccer team on the field?,9,10,11,12,2,Sports
What sport uses a puck?,Soccer,Ice Hockey,Basketball,Tennis,1,Sports
How many players are on a soccer team on the field?,9,10,11,12,2,Sports
How long is a marathon?,21 km,30 km,42.195 km,50 km,2,Sports
How long is a marathon?,21 km,30 km,42.195 km,50 km,2,Sports
Where were the first modern Olympic Games held?,Paris,London,Athens,Rome,2,Sports
What sport uses a puck?,Soccer,Ice Hockey,Basketball,Tennis,1,Sports
How many players are on a soccer team on the field?,9,10,11,12,2,Sports
Which European city is known for the Eiffel Tower?,Berlin,Rome,Paris,Madrid,2,Geography
Which ocean is the largest?,Atlantic,Indian,Southern,Pacific,3,Geography
Which country has the most islands?,Canada,Philippines,Indonesia,Sweden,3,Geography
Which ocean is the largest?,Atlantic,Indian,Southern,Pacific,3,Geography
Which US state has the Grand Canyon?,Nevada,Arizona,Utah,Colorado,1,Geography
Which US state has the Grand Canyon?,Nevada,Arizona,Utah,Colorado,1,Geography
Which US state has the Grand Canyon?,Nevada,Arizona,Utah,Colorado,1,Geography
Which European city is known for the Eiffel Tower?,Berlin,Rome,Paris,Madrid,2,Geography
Which country has the most islands?,Canada,Philippines,Indonesia,Sweden,3,Geography
What continent is Egypt in?,Asia,Europe,Africa,Australia,2,Geography
Which country has the most islands?,Canada,Philippines,Indonesia,Sweden,3,Geography
Which European city is known for the Eiffel Tower?,Berlin,Rome,Paris,Madrid,2,Geography
What continent is Egypt in?,Asia,Europe,Africa,Australia,2,Geography
Which US state has the Grand Canyon?,Nevada,Arizona,Utah,Colorado,1,Geography
What continent is Egypt in?,Asia,Europe,Africa,Australia,2,Geography
What continent is Egypt in?,Asia,Europe,Africa,Australia,2,Geography
Who was known as the Maid of Orléans?,Marie Curie,Cleopatra,Joan of Arc,Queen Elizabeth I,2,History
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Isaac Newton,1,History
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Isaac Newton,1,History
Which empire built the Colosseum?,Greek,Roman,Byzantine,Ottoman,1,History
Who was known as the Maid of Orléans?,Marie Curie,Cleopatra,Joan of Arc,Queen Elizabeth I,2,History
Who was the British Prime Minister during WWII?,Winston Churchill,Neville Chamberlain,Margaret Thatcher,Tony Blair,0,History
Who was the British Prime Minister during WWII?,Winston Churchill,Neville Chamberlain,Margaret Thatcher,Tony Blair,0,History
What year did the Berlin Wall fall?,1987,1989,1991,1993,1,History
What year did the Berlin Wall fall?,1987,1989,1991,1993,1,History
Which empire built the Colosseum?,Greek,Roman,Byzantine,Ottoman,1,History
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Isaac Newton,1,History
What year did the Berlin Wall fall?,1987,1989,1991,1993,1,History
What year did the Berlin Wall fall?,1987,1989,1991,1993,1,History
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Isaac Newton,1,History
Which empire built the Colosseum?,Greek,Roman,Byzantine,Ottoman,1,History
What year did the Berlin Wall fall?,1987,1989,1991,1993,1,History
Who created the character Sherlock Holmes?,Agatha Christie,Arthur Conan Doyle,J.K. Rowling,Dan Brown,1,Literature
What is the last name of the author of 'The Catcher in the Rye'?,Lee,Salinger,Twain,Huxley,1,Literature
What is the last name of the author of 'The Catcher in the Rye'?,Lee,Salinger,Twain,Huxley,1,Literature
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,0,Literature
What is the last name of the author of 'The Catcher in the Rye'?,Lee,Salinger,Twain,Huxley,1,Literature
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,0,Literature
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,0,Literature
Who created the character Sherlock Holmes?,Agatha Christie,Arthur Conan Doyle,J.K. Rowling,Dan Brown,1,Literature
What is the last name of the author of 'The Catcher in the Rye'?,Lee,Salinger,Twain,Huxley,1,Literature
What is the last name of the author of 'The Catcher in the Rye'?,Lee,Salinger,Twain,Huxley,1,Literature
Which book starts with 'Call me Ishmael'?,Moby Dick,1984,Frankenstein,Dracula,0,Literature
What genre is '1984' by George Orwell?,Romance,Science Fiction,Dystopian,Fantasy,2,Literature
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,0,Literature
What is the last name of the author of 'The Catcher in the Rye'?,Lee,Salinger,Twain,Huxley,1,Literature
What is the last name of the author of 'The Catcher in the Rye'?,Lee,Salinger,Twain,Huxley,1,Literature
Which book starts with 'Call me Ishmael'?,Moby Dick,1984,Frankenstein,Dracula,0,Literature
